weekday,time,lat,lon,d_i,death,injury
2,23,56,47,0,0,0
4,5,55,57,0,0,0
4,13,45,56,0,0,0
6,17,43,58,0,0,0
2,13,87,65,1,0,1
4,2,43,88,0,0,0
2,20,83,67,0,0,0
5,10,89,68,0,0,0
4,17,81,66,0,0,0
4,22,82,72,1,0,4
0,10,52,74,0,0,0
5,12,57,45,0,0,0
5,15,34,56,0,0,0
2,9,61,48,1,0,1
4,14,53,59,1,0,1
4,10,26,57,0,0,0
3,12,53,59,0,0,0
5,15,87,64,0,0,0
5,22,49,62,0,0,0
3,16,57,45,0,0,0
2,12,50,52,0,0,0
2,22,47,62,0,0,0
5,15,39,58,0,0,0
4,8,11,12,1,0,1
5,17,91,69,0,0,0
3,13,66,60,1,0,1
1,8,34,56,0,0,0
4,16,84,67,0,0,0
6,16,65,51,1,0,1
3,20,93,73,1,0,1
2,23,54,86,0,0,0
0,11,45,80,0,0,0
1,14,46,72,1,0,1
0,11,57,46,0,0,0
1,1,31,32,0,0,0
1,7,54,67,0,0,0
1,1,61,68,0,0,0
1,9,76,70,0,0,0
5,15,69,55,0,0,0
6,1,92,73,0,0,0
0,11,42,78,0,0,0
4,18,82,64,0,0,0
3,18,61,67,0,0,0
0,17,58,47,0,0,0
0,17,58,47,0,0,0
4,16,63,46,0,0,0
4,16,86,62,1,0,1
5,22,62,75,1,0,1
1,11,55,45,1,0,1
0,4,87,62,0,0,0
6,10,55,54,0,0,0
2,19,31,31,0,0,0
2,19,64,60,0,0,0
2,19,59,75,1,0,2
2,13,60,67,0,0,0
2,7,35,51,1,0,1
1,1,91,69,1,0,1
5,3,54,70,1,0,2
0,21,75,55,1,0,1
6,22,80,57,0,0,0
2,12,82,70,0,0,0
2,9,85,72,0,0,0
4,15,53,50,0,0,0
1,18,47,60,1,0,1
3,11,63,68,0,0,0
3,23,65,63,1,0,1
6,14,59,84,0,0,0
6,18,48,71,1,0,1
6,22,44,68,0,0,0
6,23,57,48,0,0,0
5,13,65,52,0,0,0
5,22,44,49,1,0,1
4,0,67,49,0,0,0
4,18,46,75,1,0,2
4,20,62,48,0,0,0
4,7,90,63,0,0,0
4,8,49,55,0,0,0
3,23,59,49,0,0,0
3,6,69,54,0,0,0
3,9,83,59,0,0,0
3,9,75,63,1,0,1
2,3,87,69,0,0,0
1,11,84,62,0,0,0
1,20,59,83,0,0,0
1,7,57,61,0,0,0
0,14,36,44,0,0,0
3,12,45,61,0,0,0
0,15,57,69,0,0,0
0,17,55,45,0,0,0
0,23,67,49,0,0,0
6,11,32,16,0,0,0
6,14,48,47,0,0,0
6,4,86,61,0,0,0
5,16,79,66,0,0,0
5,2,29,52,0,0,0
4,0,57,67,0,0,0
4,15,64,77,0,0,0
3,22,56,48,0,0,0
0,13,88,69,0,0,0
6,7,64,57,0,0,0
3,13,56,46,1,0,1
3,7,45,63,0,0,0
3,4,41,65,0,0,0
2,19,53,91,0,0,0
2,3,57,59,1,0,1
1,9,74,68,0,0,0
0,14,38,67,0,0,0
3,17,48,75,0,0,0
4,7,47,73,0,0,0
0,7,43,60,1,0,3
5,11,35,61,0,0,0
4,14,26,30,0,0,0
4,4,54,47,0,0,0
4,8,66,53,1,0,1
3,10,33,51,0,0,0
3,12,49,82,0,0,0
3,12,46,47,0,0,0
3,17,51,56,1,0,1
3,20,34,25,1,0,1
3,23,50,58,0,0,0
2,8,51,55,0,0,0
2,16,73,53,0,0,0
1,16,35,55,1,0,1
1,15,25,62,0,0,0
0,13,61,50,0,0,0
6,1,42,76,0,0,0
6,3,82,60,1,0,1
4,14,65,50,0,0,0
4,15,60,60,0,0,0
3,11,78,56,0,0,0
1,7,44,93,0,0,0
5,15,64,46,0,0,0
5,17,46,74,0,0,0
4,20,32,47,0,0,0
3,8,59,58,0,0,0
1,13,50,65,0,0,0
6,10,49,56,1,0,1
6,16,67,48,0,0,0
4,11,22,48,0,0,0
1,8,49,53,0,0,0
0,14,52,82,0,0,0
0,17,45,71,1,0,2
0,6,91,62,0,0,0
0,17,64,83,1,0,1
6,23,45,62,0,0,0
2,20,62,68,0,0,0
1,14,38,31,0,0,0
1,23,28,32,1,0,1
6,13,78,66,1,0,1
6,16,37,61,1,0,2
4,17,71,50,0,0,0
4,14,38,55,1,0,1
4,16,56,58,0,0,0
4,16,29,31,0,0,0
3,10,63,48,0,0,0
3,11,65,53,0,0,0
1,11,80,55,1,0,1
6,19,43,80,0,0,0
3,19,47,74,0,0,0
3,20,84,56,0,0,0
0,9,92,70,0,0,0
4,16,66,61,1,0,1
5,5,78,71,0,0,0
4,18,65,66,0,0,0
3,9,47,74,1,0,1
2,0,61,65,0,0,0
2,15,44,46,0,0,0
2,16,61,61,0,0,0
1,8,54,76,0,0,0
6,0,78,66,0,0,0
4,12,29,32,0,0,0
2,12,60,82,0,0,0
6,16,25,54,0,0,0
2,15,24,52,0,0,0
6,16,78,70,0,0,0
6,16,65,62,0,0,0
3,22,50,48,0,0,0
4,9,49,58,0,0,0
6,18,79,76,0,0,0
1,9,66,49,0,0,0
4,17,83,64,1,0,1
6,12,67,53,1,0,1
5,16,44,44,0,0,0
6,12,49,85,1,0,1
6,12,64,47,0,0,0
6,12,37,63,0,0,0
6,12,49,72,0,0,0
5,22,63,48,0,0,0
5,22,61,71,0,0,0
5,22,37,46,1,0,2
5,18,58,72,0,0,0
0,9,62,49,1,0,1
5,22,49,76,0,0,0
6,0,42,92,1,0,4
5,23,83,63,1,0,3
2,19,41,74,0,0,0
3,17,32,46,0,0,0
2,19,50,80,0,0,0
2,22,65,58,1,0,1
1,14,55,75,0,0,0
5,19,80,77,0,0,0
5,19,63,48,0,0,0
3,17,62,57,0,0,0
3,17,61,60,0,0,0
0,15,29,23,0,0,0
3,19,33,50,0,0,0
1,14,46,55,0,0,0
1,14,44,69,0,0,0
0,17,83,75,0,0,0
3,19,83,67,1,0,1
2,16,36,57,0,0,0
2,17,27,55,1,0,1
2,17,67,52,1,0,1
2,17,53,46,0,0,0
2,17,64,49,0,0,0
2,17,40,50,1,0,1
2,17,32,52,1,0,1
3,19,38,27,0,0,0
5,21,37,33,0,0,0
3,8,53,78,0,0,0
5,19,63,62,0,0,0
5,19,66,55,0,0,0
5,19,51,52,0,0,0
5,1,36,55,0,0,0
5,1,89,78,0,0,0
5,1,38,46,0,0,0
5,1,46,51,0,0,0
5,1,55,48,0,0,0
5,1,18,21,0,0,0
5,1,17,13,0,0,0
5,1,61,66,0,0,0
5,1,84,58,1,0,1
5,1,35,61,0,0,0
5,20,54,47,0,0,0
5,20,17,22,0,0,0
3,9,38,44,0,0,0
0,18,26,46,0,0,0
0,1,77,59,0,0,0
5,20,82,59,0,0,0
5,20,87,61,0,0,0
5,20,33,40,0,0,0
5,20,89,72,0,0,0
5,20,58,49,0,0,0
5,20,55,46,0,0,0
5,20,41,86,0,0,0
5,20,56,65,0,0,0
5,20,49,88,1,0,2
5,20,73,58,1,0,1
5,21,30,48,0,0,0
5,21,56,90,0,0,0
5,21,65,79,0,0,0
5,21,51,43,0,0,0
5,21,33,54,0,0,0
5,21,78,63,1,0,1
0,11,24,79,0,0,0
5,21,80,55,0,0,0
5,21,62,46,0,0,0
5,21,58,93,1,0,2
3,9,42,54,0,0,0
6,12,64,90,0,0,0
3,16,78,63,0,0,0
3,16,31,25,0,0,0
0,13,58,54,1,0,1
5,22,78,59,0,0,0
5,22,36,41,0,0,0
5,22,79,61,1,0,2
5,22,51,88,0,0,0
5,22,67,54,0,0,0
5,22,43,55,0,0,0
5,22,90,71,1,0,1
5,22,61,68,0,0,0
5,23,49,50,0,0,0
5,23,66,53,0,0,0
5,23,48,46,0,0,0
5,23,76,63,1,0,1
5,23,48,72,0,0,0
5,23,27,45,0,0,0
5,23,43,46,0,0,0
5,23,91,69,1,0,2
5,11,89,68,0,0,0
5,23,62,47,0,0,0
4,16,66,62,0,0,0
4,2,78,70,0,0,0
5,2,39,50,0,0,0
5,2,56,46,0,0,0
5,2,45,60,0,0,0
5,2,57,49,0,0,0
5,2,59,81,0,0,0
0,20,31,41,0,0,0
4,17,60,87,0,0,0
5,2,40,87,1,0,2
5,2,45,54,0,0,0
5,2,58,48,1,0,1
5,2,59,46,0,0,0
5,2,63,48,1,0,1
5,2,77,55,0,0,0
5,2,54,47,0,0,0
5,2,81,60,1,0,1
5,3,39,45,0,0,0
5,3,52,53,0,0,0
5,3,43,81,0,0,0
5,3,80,61,0,0,0
5,3,65,61,1,0,1
5,3,53,55,1,0,1
5,3,83,56,1,0,1
5,3,46,53,0,0,0
5,3,76,54,1,0,1
5,4,47,80,0,0,0
5,5,82,70,0,0,0
5,6,74,59,0,0,0
5,6,37,46,0,0,0
5,6,75,54,0,0,0
5,6,51,78,1,0,3
5,7,49,83,0,0,0
5,7,35,43,0,0,0
5,7,77,60,0,0,0
5,8,61,49,0,0,0
5,8,51,61,0,0,0
5,8,64,75,0,0,0
5,8,70,51,0,0,0
5,8,73,58,0,0,0
2,9,42,79,0,0,0
5,8,53,77,0,0,0
5,8,54,69,1,0,1
5,8,35,43,1,0,1
5,8,55,46,0,0,0
5,8,47,72,0,0,0
5,9,60,67,0,0,0
5,9,46,73,0,0,0
5,9,86,64,0,0,0
5,9,65,69,0,0,0
5,9,64,46,0,0,0
5,9,40,58,0,0,0
5,9,48,83,0,0,0
5,9,59,48,1,0,1
4,0,60,49,1,0,1
4,0,52,54,0,0,0
4,0,50,92,0,0,0
0,15,42,81,1,0,1
2,20,82,70,0,0,0
1,18,90,70,0,0,0
6,21,48,75,0,0,0
6,22,30,57,0,0,0
6,22,67,61,0,0,0
6,22,66,86,0,0,0
6,22,81,61,0,0,0
6,22,79,56,0,0,0
6,22,23,48,0,0,0
6,22,64,50,1,0,1
6,22,30,60,0,0,0
6,22,91,69,1,0,1
6,23,91,67,0,0,0
6,23,46,50,0,0,0
6,23,33,46,0,0,0
5,21,51,68,0,0,0
4,0,71,52,0,0,0
2,0,45,64,0,0,0
2,0,53,93,0,0,0
2,0,79,57,0,0,0
2,0,63,52,0,0,0
2,0,65,51,0,0,0
2,0,70,55,0,0,0
2,0,83,61,0,0,0
2,10,40,64,0,0,0
2,10,40,54,0,0,0
2,10,40,75,0,0,0
2,10,65,50,1,0,1
2,10,73,57,1,0,1
2,10,45,55,0,0,0
2,10,32,55,0,0,0
2,10,97,73,0,0,0
2,10,38,42,0,0,0
2,10,52,94,0,0,0
2,10,86,64,0,0,0
2,10,47,83,0,0,0
2,10,58,73,0,0,0
2,10,59,74,1,0,1
2,11,36,51,0,0,0
2,11,63,62,0,0,0
2,11,52,68,0,0,0
2,11,46,80,0,0,0
2,12,58,46,0,0,0
2,12,75,66,0,0,0
2,12,47,47,1,0,1
2,12,45,66,1,0,1
2,12,76,61,0,0,0
2,12,80,72,0,0,0
2,12,54,46,0,0,0
2,12,53,46,0,0,0
2,12,28,87,0,0,0
2,13,27,48,0,0,0
2,13,48,56,0,0,0
2,13,45,90,0,0,0
2,13,10,13,0,0,0
2,13,81,66,1,0,1
2,13,43,60,0,0,0
2,13,56,73,0,0,0
2,13,44,60,0,0,0
2,13,64,50,0,0,0
2,13,43,88,0,0,0
